head;relation;tail;head_rank;tail_rank
789448;_verb_group;1062739;1;1
10217831;_hyponym;10682169;1;1
8860123;_member_of_domain_region;5688486;1;1
2233096;_member_meronym;2233338;1;1
1459242;_part_of;1461646;1;1
3902220;_part_of;3918480;1;1
6845599;_member_of_domain_usage;3754979;1;1
1371092;_hypernym;1352059;1;1
3239726;_has_part;3027250;30;10
2314321;_hypernym;8102555;1;1
8621598;_hypernym;8620061;1;1
12400489;_hypernym;12651821;1;1
5058580;_hyponym;5058140;1;1
779360;_derivationally_related_form;15274695;2;20
10686313;_hypernym;9610660;1;1
13286099;_derivationally_related_form;2234988;1;1
7359599;_derivationally_related_form;555447;1;1
1444326;_hypernym;1441510;MISS_66;MISS_341
5442131;_has_part;5436080;1;1
15269513;_hyponym;15297672;1;1
7085786;_hypernym;7085375;1;1
13716084;_hyponym;13720096;1;1
1469222;_member_holonym;1467986;1;1
8660339;_hypernym;8512259;1;1
13166338;_hyponym;13224256;44;MISS_968
9634494;_hyponym;9705287;1;1
69879;_hyponym;1309478;1;1
2671421;_hyponym;3354350;1;1
6178812;_derivationally_related_form;10256080;1;1
2270342;_also_see;2577061;1;1
1257145;_derivationally_related_form;7488875;1;1
2156546;_derivationally_related_form;7335716;1;1
1938426;_hypernym;1835496;1;1
1864707;_hyponym;2458675;1;1
4552696;_hyponym;4457326;1;1
770151;_hypernym;766234;1;1
1503061;_hyponym;1789386;1;1
1908287;_hypernym;8107499;1;1
4903813;_derivationally_related_form;1763829;1;1
7861421;_derivationally_related_form;1577513;1;1
1985923;_hyponym;1985757;1;1
1046587;_hypernym;1046059;1;1
951037;_hypernym;949619;1;1
1654628;_hyponym;1271658;1;1
13266892;_hypernym;13265904;1;1
1835496;_hyponym;1904293;1;1
15121625;_hypernym;28270;1;1
1258719;_synset_domain_region_of;9044862;1;1
6754184;_hypernym;6753800;1;1
1194418;_hypernym;2492198;4;1
8814333;_instance_hypernym;8524735;1;1
3223686;_part_of;3224032;1;1
13627516;_has_part;13627327;1;1
12473011;_member_holonym;12423565;20;1
15232712;_part_of;15232406;1;1
1008719;_synset_domain_topic_of;8441203;2;1
10024362;_hyponym;9622745;1;1
12194147;_member_holonym;12193964;1;1
474017;_derivationally_related_form;7357679;1;1
6479665;_hyponym;6546408;1;1
4105068;_hypernym;4014297;1;1
964569;_derivationally_related_form;1118449;1;1
12766869;_member_holonym;12766241;1;1
8159924;_hypernym;7971582;1;1
1322854;_derivationally_related_form;223983;1;1
6580646;_hypernym;6568978;1;1
968962;_hypernym;968211;1;1
1696849;_member_meronym;1697837;1;1
13166338;_hyponym;12959226;1;1
15089472;_hyponym;15089803;1;1
6643408;_hypernym;6797169;1;1
1864707;_hyponym;2348036;1;1
6596978;_hypernym;6593296;1;1
11432758;_part_of;13850674;1;1
7572957;_hypernym;7566340;1;1
7091902;_hypernym;6290637;1;1
1695976;_derivationally_related_form;4681797;3;1
2425228;_hypernym;2424695;2;2
1716882;_derivationally_related_form;7007945;1;1
1156899;_hyponym;1157138;1;1
1057034;_derivationally_related_form;1253379;1;1
62582;_hypernym;89324;1;1
1455592;_member_meronym;1455986;1;1
2514988;_member_meronym;2515214;1;1
7191777;_hypernym;7191279;1;1
8174398;_member_meronym;8949093;1;1
6693198;_derivationally_related_form;860620;1;1
630634;_hypernym;624738;1;1
14548343;_hyponym;14548913;1;1
8153437;_hyponym;8157672;1;1
12406715;_hypernym;12405714;1;1
7466557;_hypernym;7470671;1;1
810729;_hypernym;811375;1;1
11795366;_member_holonym;11794267;1;1
1733213;_hypernym;1714208;1;1
12224309;_hypernym;11534677;1;1
1758019;_member_holonym;1753721;1;1
13726074;_has_part;13725726;1;1
2257370;_hyponym;2256998;1;1
802946;_derivationally_related_form;1141841;1;1
12797368;_member_holonym;12797213;1;1
9850642;_synset_domain_region_of;8860123;1;1
9989045;_hypernym;10129825;1;1
10412055;_hyponym;10506220;1;1
74038;_hyponym;74453;1;1
14373582;_hyponym;5669934;1;1
2802544;_hypernym;3120491;1;1
974367;_derivationally_related_form;9795124;1;1
10128909;_hypernym;9606527;1;1
1850315;_hyponym;1866610;1;1
12005656;_member_holonym;12005500;1;1
1687569;_derivationally_related_form;5844105;1;1
12446200;_member_holonym;12445848;1;1
5673908;_derivationally_related_form;1978003;1;1
2676054;_hyponym;2677097;1;1
7040148;_hypernym;7037465;1;1
13060190;_hypernym;12992868;1;1
9390424;_part_of;9202405;4;7
2001858;_derivationally_related_form;319939;1;1
11575425;_hyponym;11910070;1;1
6083243;_derivationally_related_form;10806222;1;1
376400;_hypernym;376063;1;1
353992;_derivationally_related_form;493703;3;2
11567411;_hyponym;11775780;1;1
8900535;_has_part;8903220;1;1
43902;_synset_domain_topic_of;471613;1;1
8491826;_hyponym;8540903;1;1
2684649;_part_of;4200637;1;1
1951276;_hypernym;1953810;1;1
2490004;_hypernym;2488834;1;1
5154517;_hypernym;4723816;1;1
9606527;_hyponym;9825519;1;1
2641035;_derivationally_related_form;1062817;1;1
10826352;_instance_hypernym;9989502;1;1
2662239;_member_holonym;2662081;1;1
2040505;_hypernym;2021795;1;1
3532672;_hyponym;2709367;1;1
8541288;_derivationally_related_form;195342;1;1
1170243;_derivationally_related_form;14447908;1;1
9342729;_part_of;8830456;1;1
740342;_synset_domain_topic_of;8441203;1;1
12287388;_member_holonym;12280487;1;1
13258362;_hyponym;13259797;1;1
1463963;_derivationally_related_form;5075602;1;1
8919949;_member_meronym;9697070;1;1
7434102;_hypernym;7433973;1;1
11020721;_instance_hypernym;10624540;1;1
2208118;_also_see;2311387;MISS_66;MISS_4
2156546;_hypernym;2609764;1;1
8806897;_has_part;8807554;116;MISS_364
2332315;_member_holonym;2331479;1;1
13112664;_hyponym;12677841;1;1
6389753;_derivationally_related_form;1745377;1;1
14061805;_hyponym;14070360;1;1
10513509;_synset_domain_region_of;8860123;MISS_2512;1
626428;_derivationally_related_form;10508710;1;1
11746776;_member_meronym;12539306;1;1
118733;_hypernym;116687;1;1
13902048;_derivationally_related_form;1742244;1;1
7328942;_hyponym;7436986;1;1
2081178;_derivationally_related_form;8617963;1;1
10564660;_derivationally_related_form;6403969;1;1
9831962;_hyponym;10590977;1;1
7334490;_derivationally_related_form;478830;1;1
11579418;_hyponym;11939887;1;1
3547054;_hypernym;4191595;1;1
1768402;_member_holonym;1767199;1;1
12658846;_has_part;7770180;1;1
1410223;_verb_group;1236164;1;1
1215851;_derivationally_related_form;3068181;1;1
14907122;_hypernym;15047313;1;1
1511706;_derivationally_related_form;104249;1;1
4014297;_hyponym;3546766;1;1
8780881;_member_of_domain_region;10595361;1;1
645493;_derivationally_related_form;4784142;1;1
8718577;_part_of;9189411;1;1
9765278;_hyponym;10158010;1;1
2456493;_hypernym;1544692;1;1
5027529;_hypernym;5026843;1;1
179567;_hypernym;173338;1;1
11844651;_member_holonym;11841529;51;2
24720;_hyponym;14000403;1;1
11338796;_instance_hypernym;9798811;1;1
459114;_derivationally_related_form;7891726;1;1
10256756;_hyponym;10248198;1;1
966869;_derivationally_related_form;2344568;1;1
216038;_hypernym;209943;1;1
12577895;_member_holonym;12577000;1;1
7247071;_hyponym;7248060;1;1
1062817;_hyponym;1062997;1;1
1340439;_hyponym;1348174;1;1
12409016;_hypernym;11567411;1;1
11664929;_member_holonym;11551211;1;1
15231765;_instance_hypernym;15113229;1;1
4433585;_hypernym;2886599;1;1
11460281;_hypernym;11459538;1;1
4153751;_hyponym;2865665;1;1
4914292;_hyponym;4915866;1;1
5090441;_derivationally_related_form;434077;1;1
4606014;_hypernym;3368141;1;1
12475035;_member_holonym;12474828;1;1
940384;_hyponym;903212;1;1
8780018;_instance_hypernym;8691669;1;1
1675963;_hyponym;1751836;119;MISS_533
2761834;_derivationally_related_form;1042725;1;1
12565368;_member_holonym;12564840;1;1
9917593;_derivationally_related_form;15147097;1;1
2575082;_hyponym;2537407;1;1
425278;_derivationally_related_form;1803003;1;1
4821802;_derivationally_related_form;103696;1;1
8660339;_hyponym;8566707;1;1
1143409;_hypernym;1143040;1;1
1668257;_member_holonym;1667570;1;1
3171356;_hypernym;4341686;1;1
10109443;_hypernym;10341660;1;1
4229959;_hypernym;3101986;1;1
1977080;_derivationally_related_form;10019406;1;1
13306870;_derivationally_related_form;2321046;1;1
6972311;_hypernym;6972090;1;1
7296428;_hyponym;7337390;1;1
9606009;_hypernym;7846;1;1
1643092;_member_meronym;1643255;1;1
369864;_derivationally_related_form;5015463;1;1
1494310;_hyponym;1498872;1;1
4962240;_hypernym;4961691;1;1
4667406;_derivationally_related_form;1484083;1;1
6845599;_member_of_domain_usage;3587715;1;1
1342529;_hyponym;2012306;1;1
6268784;_hypernym;6268096;1;1
4671394;_derivationally_related_form;724861;1;1
2446645;_hypernym;2445715;1;1
7339653;_hyponym;7339941;1;1
1466543;_derivationally_related_form;262249;4;7
4868748;_hypernym;4826235;1;1
11915658;_hypernym;11915214;1;1
15256714;_hypernym;5867413;1;1
728641;_hyponym;729285;1;1
7127252;_hypernym;7109847;1;1
1473990;_hypernym;8103777;1;1
8729452;_part_of;8723006;1;1
4033425;_member_holonym;7956721;1;1
3385117;_hyponym;4054795;1;1
560529;_hypernym;558630;1;1
1296462;_derivationally_related_form;379422;1;1
12169526;_member_meronym;12192373;1;1
11911591;_member_meronym;12000609;1;1
1621555;_hyponym;1628197;1;1
5533948;_hypernym;5248181;1;1
538571;_synset_domain_topic_of;6084469;1;1
1382273;_hypernym;1352059;1;1
8860123;_member_of_domain_usage;1252566;1;1
10299875;_hypernym;9624559;1;1
