head;relation;tail;head_rank;tail_rank
6845599;_member_of_domain_usage;3754979;1;8
2233096;_member_meronym;2233338;MISS_62;MISS_910
789448;_verb_group;1062739;1;1
770151;_hypernym;766234;MISS_601;MISS_1
2314321;_hypernym;8102555;32;1
8814333;_instance_hypernym;8524735;493;1
3239726;_has_part;3027250;31;10
12400489;_hypernym;12651821;20;1
1371092;_hypernym;1352059;22;13
2270342;_also_see;2577061;1;1
8860123;_member_of_domain_region;5688486;1;MISS_2657
5442131;_has_part;5436080;189;614
1908287;_hypernym;8107499;44;3
6754184;_hypernym;6753800;1;2
13627516;_has_part;13627327;26;27
1008719;_synset_domain_topic_of;8441203;MISS_4512;MISS_1
1938426;_hypernym;1835496;MISS_2420;105
7085786;_hypernym;7085375;2;12
1046587;_hypernym;1046059;8;6
8159924;_hypernym;7971582;7;1
6580646;_hypernym;6568978;MISS_334;MISS_1
968962;_hypernym;968211;MISS_189;MISS_1
1696849;_member_meronym;1697837;19;78
8660339;_hypernym;8512259;MISS_187;1081
10686313;_hypernym;9610660;MISS_1232;171
7572957;_hypernym;7566340;MISS_200;108
951037;_hypernym;949619;MISS_152;MISS_1689
7091902;_hypernym;6290637;10;3
2425228;_hypernym;2424695;4;46
1695976;_derivationally_related_form;4681797;3;1
15121625;_hypernym;28270;MISS_289;MISS_1670
8621598;_hypernym;8620061;26;46
1455592;_member_meronym;1455986;37;199
1444326;_hypernym;1441510;MISS_133;1603
13266892;_hypernym;13265904;345;16
2514988;_member_meronym;2515214;4;153
630634;_hypernym;624738;MISS_247;MISS_1
8174398;_member_meronym;8949093;1;1
1194418;_hypernym;2492198;3;1
12406715;_hypernym;12405714;1;1
6596978;_hypernym;6593296;5;22
7466557;_hypernym;7470671;MISS_31;MISS_361
13726074;_has_part;13725726;7;25
12224309;_hypernym;11534677;10;1
9989045;_hypernym;10129825;MISS_770;MISS_1
62582;_hypernym;89324;MISS_27;MISS_1674
2802544;_hypernym;3120491;MISS_13;MISS_636
10128909;_hypernym;9606527;MISS_101;MISS_1
6643408;_hypernym;6797169;9;12
7191777;_hypernym;7191279;MISS_27;MISS_1672
1733213;_hypernym;1714208;339;69
7040148;_hypernym;7037465;2;1
7861421;_derivationally_related_form;1577513;1;1
13060190;_hypernym;12992868;MISS_688;441
810729;_hypernym;811375;1;1
4105068;_hypernym;4014297;MISS_288;369
13286099;_derivationally_related_form;2234988;1;1
43902;_synset_domain_topic_of;471613;66;1
6178812;_derivationally_related_form;10256080;1;1
8900535;_has_part;8903220;10;616
5154517;_hypernym;4723816;MISS_462;7
2490004;_hypernym;2488834;MISS_109;MISS_1
2040505;_hypernym;2021795;MISS_133;782
10826352;_instance_hypernym;9989502;1;1
