,head,relation,tail,head_rank,tail_rank,head_rank_2,tail_rank_2,rank_difference_tail,have_inv
0,6845599,_member_of_domain_usage,3754979,1.0,1.0,1.0,5.0,4.0,1
2,8860123,_member_of_domain_region,5688486,1.0,1.0,2.0,6642.0,6641.0,1
3,2233096,_member_meronym,2233338,1.0,1.0,30.0,394.0,393.0,1
4,1371092,_hypernym,1352059,1.0,1.0,7.0,1.0,0.0,1
5,2314321,_hypernym,8102555,1.0,1.0,21.0,2.0,1.0,1
6,8621598,_hypernym,8620061,1.0,1.0,40.0,7.0,6.0,1
7,3239726,_has_part,3027250,12.0,7.0,2.0,2.0,-5.0,0
8,12400489,_hypernym,12651821,1.0,1.0,5.0,1.0,0.0,1
9,779360,_derivationally_related_form,15274695,2.0,8.0,1.0,3.0,-5.0,0
11,10686313,_hypernym,9610660,1.0,1.0,7150.0,349.0,348.0,1
13,1444326,_hypernym,1441510,3364.0,1411.0,179.0,37.0,-1374.0,0
14,5442131,_has_part,5436080,1.0,1.0,7.0,5.0,4.0,1
15,8660339,_hypernym,8512259,1.0,1.0,578.0,385.0,384.0,1
16,7085786,_hypernym,7085375,1.0,1.0,4.0,15.0,14.0,1
21,1938426,_hypernym,1835496,1.0,1.0,964.0,98.0,97.0,1
22,8814333,_instance_hypernym,8524735,1.0,1.0,379.0,2.0,1.0,1
23,770151,_hypernym,766234,1.0,1.0,40793.0,504.0,503.0,1
25,1908287,_hypernym,8107499,1.0,1.0,27.0,6.0,5.0,1
27,1046587,_hypernym,1046059,1.0,1.0,4.0,4.0,3.0,1
28,951037,_hypernym,949619,1.0,1.0,5232.0,3968.0,3967.0,1
29,13266892,_hypernym,13265904,1.0,1.0,6.0,5.0,4.0,1
30,15121625,_hypernym,28270,1.0,1.0,14641.0,1378.0,1377.0,1
32,1194418,_hypernym,2492198,9.0,3.0,4.0,2.0,-1.0,0
33,1008719,_synset_domain_topic_of,8441203,1.0,1.0,40453.0,393.0,392.0,1
35,13627516,_has_part,13627327,1.0,1.0,29.0,25.0,24.0,1
37,4105068,_hypernym,4014297,1.0,1.0,58.0,19.0,18.0,1
41,6580646,_hypernym,6568978,1.0,1.0,40614.0,3146.0,3145.0,1
