,0
7,-5.0
9,-5.0
13,-1374.0
32,-1.0
77,-9.0
93,-34665.0
94,-3346.0
171,-2.0
186,-65.0
192,-1.0
202,-5090.0
242,-1.0
263,-138.0
306,-17.0
356,-2.0
395,-696.0
438,-5.0
447,-1.0
451,-43.0
460,-1996.0
490,-17068.0
510,-19848.0
581,-3.0
636,-9.0
706,-3029.0
839,-250.0
846,-72.0
878,-35172.0
887,-4.0
895,-102.0
904,-9357.0
908,-1018.0
925,-4174.0
943,-1.0
963,-165.0
988,-254.0
989,-6.0
1007,-2.0
1034,-5171.0
1041,-206.0
1074,-23.0
1126,-21.0
1140,-16.0
1141,-1736.0
1177,-16.0
1216,-25.0
1306,-14.0
1339,-2.0
1490,-2.0
1496,-1.0
1532,-248.0
1533,-103.0
1576,-15.0
1596,-42.0
1623,-12.0
1664,-670.0
1667,-16.0
1714,-75.0
1760,-24.0
1775,-1.0
1786,-102.0
1800,-8.0
1881,-367.0
1926,-7809.0
1961,-15560.0
1968,-16095.0
1975,-1.0
1981,-1790.0
2018,-10379.0
2039,-1.0
2057,-1661.0
2074,-12511.0
2099,-72.0
2155,-670.0
2220,-18200.0
2228,-38620.0
2231,-1.0
2275,-2.0
2349,-2.0
2354,-583.0
2361,-3.0
2411,-3.0
2450,-21.0
2500,-706.0
2557,-1911.0
2562,-2.0
2588,-1.0
2614,-12.0
2637,-31642.0
2736,-41.0
2783,-265.0
2874,-1.0
2895,-6.0
2896,-40.0
2909,-4.0
2957,-1103.0
2962,-546.0
2980,-639.0
3023,-545.0
3029,-2.0
3041,-2.0
3068,-3.0
3073,-13.0
3106,-3.0
3125,-24.0
