,have_inv,intervallo
0,1,"(-200.0, 0.0]"
1,1,"(0.0, 200.0]"
2,1,"(0.0, 200.0]"
3,1,"(0.0, 200.0]"
4,1,"(0.0, 200.0]"
5,1,"(0.0, 200.0]"
6,0,"(-200.0, 0.0]"
7,1,"(0.0, 200.0]"
8,0,"(-200.0, 0.0]"
9,1,"(7000.0, 7200.0]"
11,1,"(0.0, 200.0]"
12,1,"(400.0, 600.0]"
13,1,"(0.0, 200.0]"
14,1,"(800.0, 1000.0]"
15,1,"(200.0, 400.0]"
16,1,"(40600.0, 40800.0]"
17,1,"(0.0, 200.0]"
18,1,"(0.0, 200.0]"
19,1,"(5200.0, 5400.0]"
20,1,"(0.0, 200.0]"
21,1,"(14600.0, 14800.0]"
22,0,"(-200.0, 0.0]"
23,1,"(40400.0, 40600.0]"
24,1,"(0.0, 200.0]"
25,1,"(0.0, 200.0]"
26,1,"(40600.0, 40800.0]"
27,1,"(40800.0, 41000.0]"
28,1,"(0.0, 200.0]"
29,1,"(0.0, 200.0]"
30,1,"(0.0, 200.0]"
31,1,"(6800.0, 7000.0]"
32,1,"(11000.0, 11200.0]"
33,0,"(0.0, 200.0]"
34,1,"(0.0, 200.0]"
35,1,"(0.0, 200.0]"
36,1,"(0.0, 200.0]"
37,1,"(0.0, 200.0]"
38,1,"(40800.0, 41000.0]"
39,1,"(0.0, 200.0]"
40,1,"(0.0, 200.0]"
41,1,"(0.0, 200.0]"
42,1,"(40600.0, 40800.0]"
43,1,"(200.0, 400.0]"
44,1,"(40600.0, 40800.0]"
45,1,"(200.0, 400.0]"
46,1,"(0.0, 200.0]"
47,1,"(0.0, 200.0]"
48,0,"(-200.0, 0.0]"
49,1,"(0.0, 200.0]"
50,1,"(0.0, 200.0]"
51,1,"(800.0, 1000.0]"
52,1,"(40600.0, 40800.0]"
53,1,"(0.0, 200.0]"
54,1,"(0.0, 200.0]"
55,1,"(29400.0, 29600.0]"
56,1,"(0.0, 200.0]"
57,1,"(8800.0, 9000.0]"
58,1,"(0.0, 200.0]"
61,1,"(0.0, 200.0]"
62,1,"(0.0, 200.0]"
63,1,"(200.0, 400.0]"
64,1,"(1400.0, 1600.0]"
65,1,"(1600.0, 1800.0]"
66,1,"(-200.0, 0.0]"
67,1,"(600.0, 800.0]"
68,1,"(15800.0, 16000.0]"
69,1,"(31600.0, 31800.0]"
70,1,"(0.0, 200.0]"
71,1,"(0.0, 200.0]"
72,1,"(0.0, 200.0]"
73,1,"(2400.0, 2600.0]"
74,1,"(0.0, 200.0]"
75,1,"(25400.0, 25600.0]"
76,1,"(0.0, 200.0]"
77,1,"(400.0, 600.0]"
78,1,"(40400.0, 40600.0]"
79,1,"(400.0, 600.0]"
80,1,"(40400.0, 40600.0]"
81,1,"(12200.0, 12400.0]"
82,1,"(40600.0, 40800.0]"
83,0,"(-200.0, 0.0]"
84,1,"(0.0, 200.0]"
85,1,"(40400.0, 40600.0]"
86,1,"(-200.0, 0.0]"
87,1,"(0.0, 200.0]"
88,1,"(40600.0, 40800.0]"
89,1,"(0.0, 200.0]"
90,1,"(0.0, 200.0]"
91,1,"(0.0, 200.0]"
92,1,"(0.0, 200.0]"
